Unnamed: 0,statement,label,city,country,correct_country,twoshot_prompt
0,The city of Krasnodar is in Russia.,1,Krasnodar,Russia,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Krasnodar is in Russia. This statement is:"
1,The city of Krasnodar is in South Africa.,0,Krasnodar,South Africa,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Krasnodar is in South Africa. This statement is:"
2,The city of Lodz is in Poland.,1,Lodz,Poland,Poland,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Lodz is in Poland. This statement is:"
3,The city of Lodz is in the Dominican Republic.,0,Lodz,the Dominican Republic,Poland,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Lodz is in the Dominican Republic. This statement is:"
4,The city of Maracay is in Venezuela.,1,Maracay,Venezuela,Venezuela,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Maracay is in Venezuela. This statement is:"
5,The city of Maracay is in China.,0,Maracay,China,Venezuela,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Maracay is in China. This statement is:"
6,The city of Baku is in Azerbaijan.,1,Baku,Azerbaijan,Azerbaijan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Baku is in Azerbaijan. This statement is:"
7,The city of Baku is in Ukraine.,0,Baku,Ukraine,Azerbaijan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Baku is in Ukraine. This statement is:"
8,The city of Baoji is in China.,1,Baoji,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Baoji is in China. This statement is:"
9,The city of Baoji is in Guatemala.,0,Baoji,Guatemala,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Baoji is in Guatemala. This statement is:"
10,The city of Addis Ababa is in Ethiopia.,1,Addis Ababa,Ethiopia,Ethiopia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Addis Ababa is in Ethiopia. This statement is:"
11,The city of Addis Ababa is in Indonesia.,0,Addis Ababa,Indonesia,Ethiopia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Addis Ababa is in Indonesia. This statement is:"
12,The city of Abidjan is in Côte d'Ivoire.,1,Abidjan,Côte d'Ivoire,Côte d'Ivoire,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Abidjan is in Côte d'Ivoire. This statement is:"
13,The city of Abidjan is in China.,0,Abidjan,China,Côte d'Ivoire,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Abidjan is in China. This statement is:"
14,The city of Yongzhou is in China.,1,Yongzhou,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Yongzhou is in China. This statement is:"
15,The city of Yongzhou is in Ukraine.,0,Yongzhou,Ukraine,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Yongzhou is in Ukraine. This statement is:"
16,The city of Nanchong is in China.,1,Nanchong,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Nanchong is in China. This statement is:"
17,The city of Nanchong is in Nigeria.,0,Nanchong,Nigeria,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Nanchong is in Nigeria. This statement is:"
18,The city of Lu'an is in China.,1,Lu'an,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Lu'an is in China. This statement is:"
