Unnamed: 0,statement,label,city,country,correct_country,twoshot_prompt
494,The city of Calgary is not in Canada.,0,Calgary,Canada,Canada,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Calgary is not in Canada. This statement is:"
403,The city of Iztapalapa is not in Yemen.,1,Iztapalapa,Yemen,Mexico,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Iztapalapa is not in Yemen. This statement is:"
959,The city of Bhavnagar is in Japan.,0,Bhavnagar,Japan,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bhavnagar is in Japan. This statement is:"
939,The city of Amman is not in Malaysia.,1,Amman,Malaysia,Jordan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Amman is not in Malaysia. This statement is:"
295,The city of Libreville is in the United States.,0,Libreville,the United States,Gabon,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Libreville is in the United States. This statement is:"
1416,The city of Mar del Plata is in Argentina.,1,Mar del Plata,Argentina,Argentina,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Mar del Plata is in Argentina. This statement is:"
446,The city of Tucson is not in the United States.,0,Tucson,the United States,the United States,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Tucson is not in the United States. This statement is:"
1229,The city of Indianapolis is in Côte d'Ivoire.,0,Indianapolis,Côte d'Ivoire,the United States,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Indianapolis is in Côte d'Ivoire. This statement is:"
577,The city of Luohe is not in Brazil.,1,Luohe,Brazil,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Luohe is not in Brazil. This statement is:"
980,The city of Puning is not in China.,0,Puning,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Puning is not in China. This statement is:"
97,The city of Boumerdes is in Iran.,0,Boumerdes,Iran,Algeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Boumerdes is in Iran. This statement is:"
108,The city of Macapa is not in Brazil.,0,Macapa,Brazil,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Macapa is not in Brazil. This statement is:"
730,The city of Cimahi is in Indonesia.,1,Cimahi,Indonesia,Indonesia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Cimahi is in Indonesia. This statement is:"
393,The city of Pyongyang is not in Argentina.,1,Pyongyang,Argentina,North Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Pyongyang is not in Argentina. This statement is:"
763,The city of Vijayawada is in Nigeria.,0,Vijayawada,Nigeria,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Vijayawada is in Nigeria. This statement is:"
98,The city of Asmara is in Eritrea.,1,Asmara,Eritrea,Eritrea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Asmara is in Eritrea. This statement is:"
231,The city of Yiwu is in India.,0,Yiwu,India,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Yiwu is in India. This statement is:"
583,The city of Hanzhong is not in Iran.,1,Hanzhong,Iran,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Hanzhong is not in Iran. This statement is:"
896,The city of Al Ain City is not in the United Arab Emirates.,0,Al Ain City,the United Arab Emirates,the United Arab Emirates,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Al Ain City is not in the United Arab Emirates. This statement is:"
1339,The city of Amritsar is in Moldova.,0,Amritsar,Moldova,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Amritsar is in Moldova. This statement is:"
1361,The city of Hezhou is not in India.,1,Hezhou,India,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Hezhou is not in India. This statement is:"
434,The city of Siliguri is in India.,1,Siliguri,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Siliguri is in India. This statement is:"
1277,The city of Makassar is not in China.,1,Makassar,China,Indonesia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Makassar is not in China. This statement is:"
1470,The city of Weinan is in China.,1,Weinan,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Weinan is in China. This statement is:"
318,The city of Jaboatao dos Guararapes is in Brazil.,1,Jaboatao dos Guararapes,Brazil,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Jaboatao dos Guararapes is in Brazil. This statement is:"
1079,The city of Kampala is not in Turkey.,1,Kampala,Turkey,Uganda,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Kampala is not in Turkey. This statement is:"
764,The city of Theni is in India.,1,Theni,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Theni is in India. This statement is:"
700,The city of Comilla is not in Bangladesh.,0,Comilla,Bangladesh,Bangladesh,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Comilla is not in Bangladesh. This statement is:"
961,The city of Amravati is not in China.,1,Amravati,China,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Amravati is not in China. This statement is:"
1104,The city of Bangkok is in Thailand.,1,Bangkok,Thailand,Thailand,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bangkok is in Thailand. This statement is:"
455,The city of Shihezi is in Russia.,0,Shihezi,Russia,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Shihezi is in Russia. This statement is:"
635,The city of Astrakhan is not in India.,1,Astrakhan,India,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Astrakhan is not in India. This statement is:"
1075,The city of Abu Ghurayb is in Indonesia.,0,Abu Ghurayb,Indonesia,Iraq,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Abu Ghurayb is in Indonesia. This statement is:"
1188,The city of Surat is in India.,1,Surat,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Surat is in India. This statement is:"
348,The city of Shangqiu is in China.,1,Shangqiu,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Shangqiu is in China. This statement is:"
757,The city of Chiclayo is in Venezuela.,0,Chiclayo,Venezuela,Peru,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Chiclayo is in Venezuela. This statement is:"
1255,The city of Chongqing is in Sweden.,0,Chongqing,Sweden,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Chongqing is in Sweden. This statement is:"
990,The city of Samarinda is not in Indonesia.,0,Samarinda,Indonesia,Indonesia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Samarinda is not in Indonesia. This statement is:"
1461,The city of Reynosa is in China.,0,Reynosa,China,Mexico,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Reynosa is in China. This statement is:"
843,The city of Latakia is in Somalia.,0,Latakia,Somalia,Syria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Latakia is in Somalia. This statement is:"
626,The city of Seoul is not in South Korea.,0,Seoul,South Korea,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Seoul is not in South Korea. This statement is:"
828,The city of Ma'anshan is not in China.,0,Ma'anshan,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ma'anshan is not in China. This statement is:"
1110,The city of Madinat an Nasr is not in Egypt.,0,Madinat an Nasr,Egypt,Egypt,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Madinat an Nasr is not in Egypt. This statement is:"
133,The city of Changwon is not in Indonesia.,1,Changwon,Indonesia,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Changwon is not in Indonesia. This statement is:"
1243,The city of Suining is not in Algeria.,1,Suining,Algeria,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Suining is not in Algeria. This statement is:"
1195,The city of Bikaner is in South Korea.,0,Bikaner,South Korea,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bikaner is in South Korea. This statement is:"
141,The city of Basrah is not in China.,1,Basrah,China,Iraq,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Basrah is not in China. This statement is:"
1493,The city of Al Mawsil al Jadidah is not in India.,1,Al Mawsil al Jadidah,India,Iraq,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Al Mawsil al Jadidah is not in India. This statement is:"
392,The city of Pyongyang is in North Korea.,1,Pyongyang,North Korea,North Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Pyongyang is in North Korea. This statement is:"
474,The city of Ya'an is not in China.,0,Ya'an,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ya'an is not in China. This statement is:"
295,The city of Libreville is not in the United States.,1,Libreville,the United States,Gabon,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Libreville is not in the United States. This statement is:"
452,The city of Abobo is not in Côte d'Ivoire.,0,Abobo,Côte d'Ivoire,Côte d'Ivoire,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Abobo is not in Côte d'Ivoire. This statement is:"
1316,The city of Kandahar is in Afghanistan.,1,Kandahar,Afghanistan,Afghanistan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Kandahar is in Afghanistan. This statement is:"
1146,The city of Dhanbad is in India.,1,Dhanbad,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Dhanbad is in India. This statement is:"
1379,The city of Tangier is not in Ecuador.,1,Tangier,Ecuador,Morocco,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Tangier is not in Ecuador. This statement is:"
1191,The city of Barnaul is not in South Africa.,1,Barnaul,South Africa,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Barnaul is not in South Africa. This statement is:"
1225,The city of Shangyu is not in the United Arab Emirates.,1,Shangyu,the United Arab Emirates,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Shangyu is not in the United Arab Emirates. This statement is:"
1420,The city of Bujumbura is in Burundi.,1,Bujumbura,Burundi,Burundi,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bujumbura is in Burundi. This statement is:"
1186,The city of Fes is in Morocco.,1,Fes,Morocco,Morocco,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Fes is in Morocco. This statement is:"
1252,The city of Dalian is not in China.,0,Dalian,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Dalian is not in China. This statement is:"
18,The city of Lu'an is in China.,1,Lu'an,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Lu'an is in China. This statement is:"
507,The city of Chattogram is in China.,0,Chattogram,China,Bangladesh,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Chattogram is in China. This statement is:"
303,The city of Karol Bagh is not in Syria.,1,Karol Bagh,Syria,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Karol Bagh is not in Syria. This statement is:"
694,The city of Lubumbashi is not in the Democratic Republic of the Congo.,0,Lubumbashi,the Democratic Republic of the Congo,the Democratic Republic of the Congo,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Lubumbashi is not in the Democratic Republic of the Congo. This statement is:"
1307,The city of Chenzhou is not in Brazil.,1,Chenzhou,Brazil,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Chenzhou is not in Brazil. This statement is:"
191,The city of Lyon is not in Canada.,1,Lyon,Canada,France,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Lyon is not in Canada. This statement is:"
670,The city of Semarang is in Indonesia.,1,Semarang,Indonesia,Indonesia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Semarang is in Indonesia. This statement is:"
788,The city of Port Said is not in Egypt.,0,Port Said,Egypt,Egypt,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Port Said is not in Egypt. This statement is:"
1308,The city of Baise is in China.,1,Baise,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Baise is in China. This statement is:"
1233,The city of Bulawayo is in China.,0,Bulawayo,China,Zimbabwe,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bulawayo is in China. This statement is:"
1401,The city of Xingtai is not in Russia.,1,Xingtai,Russia,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Xingtai is not in Russia. This statement is:"
1452,The city of Maiduguri is in Nigeria.,1,Maiduguri,Nigeria,Nigeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Maiduguri is in Nigeria. This statement is:"
1188,The city of Surat is not in India.,0,Surat,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Surat is not in India. This statement is:"
1113,The city of Yibin is not in Brazil.,1,Yibin,Brazil,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Yibin is not in Brazil. This statement is:"
529,The city of Bursa is not in Bosnia and Herzegovina.,1,Bursa,Bosnia and Herzegovina,Turkey,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bursa is not in Bosnia and Herzegovina. This statement is:"
490,The city of Albuquerque is not in the United States.,0,Albuquerque,the United States,the United States,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Albuquerque is not in the United States. This statement is:"
663,The city of Guwahati is in China.,0,Guwahati,China,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Guwahati is in China. This statement is:"
730,The city of Cimahi is not in Indonesia.,0,Cimahi,Indonesia,Indonesia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Cimahi is not in Indonesia. This statement is:"
1348,The city of Gujranwala is in Pakistan.,1,Gujranwala,Pakistan,Pakistan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Gujranwala is in Pakistan. This statement is:"
194,The city of Giza is in Egypt.,1,Giza,Egypt,Egypt,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Giza is in Egypt. This statement is:"
777,The city of Bayannur is not in Russia.,1,Bayannur,Russia,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bayannur is not in Russia. This statement is:"
1265,The city of Bishkek is in Germany.,0,Bishkek,Germany,Kyrgyzstan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bishkek is in Germany. This statement is:"
193,The city of Suez is not in Brazil.,1,Suez,Brazil,Egypt,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Suez is not in Brazil. This statement is:"
332,The city of Balikpapan is in Indonesia.,1,Balikpapan,Indonesia,Indonesia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Balikpapan is in Indonesia. This statement is:"
183,The city of Porto Velho is in Algeria.,0,Porto Velho,Algeria,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Porto Velho is in Algeria. This statement is:"
1041,The city of Asansol is in China.,0,Asansol,China,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Asansol is in China. This statement is:"
383,The city of Oyo is not in China.,1,Oyo,China,Nigeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Oyo is not in China. This statement is:"
1170,The city of Bhiwandi is in India.,1,Bhiwandi,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bhiwandi is in India. This statement is:"
1203,The city of Thuan An is in Mozambique.,0,Thuan An,Mozambique,Vietnam,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Thuan An is in Mozambique. This statement is:"
1120,The city of Jiujiang is in China.,1,Jiujiang,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Jiujiang is in China. This statement is:"
785,The city of Recife is not in North Korea.,1,Recife,North Korea,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Recife is not in North Korea. This statement is:"
464,The city of Taiz is in Yemen.,1,Taiz,Yemen,Yemen,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Taiz is in Yemen. This statement is:"
1136,The city of Sargodha is not in Pakistan.,0,Sargodha,Pakistan,Pakistan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Sargodha is not in Pakistan. This statement is:"
641,The city of Saint Petersburg is not in Canada.,1,Saint Petersburg,Canada,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Saint Petersburg is not in Canada. This statement is:"
117,The city of Hohhot is in Indonesia.,0,Hohhot,Indonesia,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Hohhot is in Indonesia. This statement is:"
577,The city of Luohe is in Brazil.,0,Luohe,Brazil,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Luohe is in Brazil. This statement is:"
